|                            Method | MapSize | MapGenAlgo | DistanceCalc | Heuristic |          Mean |         Error |        StdDev |
|---------------------------------- |-------- |----------- |------------- |---------- |--------------:|--------------:|--------------:|
|                   'GoRogue AStar' |      50 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |     946.85 us |     0.8113 us |     0.6774 us |
|           'GoRogue AStar - H,W,T' |      50 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |     701.28 us |     0.1407 us |     0.1098 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |     704.22 us |     0.4606 us |     0.3596 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |     688.71 us |     0.5392 us |     0.4210 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |   1,032.10 us |     6.4217 us |     6.0069 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  CELL AUTO |    CHEBYSHEV |   DEFAULT |     852.22 us |     0.2104 us |     0.1643 us |
|                   'GoRogue AStar' |      50 |  CELL AUTO |    CHEBYSHEV |      FAST |     948.28 us |     0.7173 us |     0.6359 us |
|           'GoRogue AStar - H,W,T' |      50 |  CELL AUTO |    CHEBYSHEV |      FAST |     533.30 us |     0.2760 us |     0.2305 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  CELL AUTO |    CHEBYSHEV |      FAST |     531.21 us |     1.0996 us |     0.9748 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  CELL AUTO |    CHEBYSHEV |      FAST |     516.14 us |     0.1797 us |     0.1403 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  CELL AUTO |    CHEBYSHEV |      FAST |     744.61 us |     0.1270 us |     0.0992 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  CELL AUTO |    CHEBYSHEV |      FAST |     634.11 us |     0.8738 us |     0.7297 us |
|                   'GoRogue AStar' |      50 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |     993.31 us |     3.4345 us |     3.2127 us |
|           'GoRogue AStar - H,W,T' |      50 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |     816.63 us |     2.3568 us |     2.0893 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |     817.03 us |     1.0316 us |     0.9145 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |     805.01 us |     0.4738 us |     0.3699 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |   1,204.09 us |     3.0451 us |     2.6994 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  CELL AUTO |    EUCLIDEAN |   DEFAULT |     998.95 us |     0.5921 us |     0.5249 us |
|                   'GoRogue AStar' |      50 |  CELL AUTO |    EUCLIDEAN |      FAST |     988.67 us |     2.3225 us |     1.9394 us |
|           'GoRogue AStar - H,W,T' |      50 |  CELL AUTO |    EUCLIDEAN |      FAST |     673.39 us |     4.4283 us |     3.6978 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  CELL AUTO |    EUCLIDEAN |      FAST |     667.52 us |     0.6669 us |     0.5912 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  CELL AUTO |    EUCLIDEAN |      FAST |     652.66 us |     0.5385 us |     0.4774 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  CELL AUTO |    EUCLIDEAN |      FAST |     963.73 us |     1.3967 us |     1.3065 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  CELL AUTO |    EUCLIDEAN |      FAST |     801.52 us |     0.6461 us |     0.5395 us |
|                   'GoRogue AStar' |      50 |  CELL AUTO |    MANHATTAN |   DEFAULT |     666.32 us |     0.7145 us |     0.6684 us |
|           'GoRogue AStar - H,W,T' |      50 |  CELL AUTO |    MANHATTAN |   DEFAULT |     478.59 us |     0.7220 us |     0.6754 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  CELL AUTO |    MANHATTAN |   DEFAULT |     469.78 us |     0.1559 us |     0.1217 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  CELL AUTO |    MANHATTAN |   DEFAULT |     458.26 us |     0.5223 us |     0.4630 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  CELL AUTO |    MANHATTAN |   DEFAULT |     677.05 us |     0.6164 us |     0.5147 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  CELL AUTO |    MANHATTAN |   DEFAULT |     564.13 us |     0.9694 us |     0.9068 us |
|                   'GoRogue AStar' |      50 |  CELL AUTO |    MANHATTAN |      FAST |     676.33 us |     1.5749 us |     1.3961 us |
|           'GoRogue AStar - H,W,T' |      50 |  CELL AUTO |    MANHATTAN |      FAST |     478.67 us |     0.1379 us |     0.1222 us |
|         'GoRogue AStar - H,W,T,D' |      50 |  CELL AUTO |    MANHATTAN |      FAST |     470.10 us |     0.5563 us |     0.4931 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 |  CELL AUTO |    MANHATTAN |      FAST |     460.62 us |     0.7871 us |     0.6977 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 |  CELL AUTO |    MANHATTAN |      FAST |     674.47 us |     0.2201 us |     0.1838 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 |  CELL AUTO |    MANHATTAN |      FAST |     563.37 us |     0.7558 us |     0.6311 us |
|                   'GoRogue AStar' |      50 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     440.81 us |     1.5139 us |     1.2641 us |
|           'GoRogue AStar - H,W,T' |      50 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     304.13 us |     1.8418 us |     1.7228 us |
|         'GoRogue AStar - H,W,T,D' |      50 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     293.29 us |     1.5030 us |     1.4059 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     275.62 us |     0.3298 us |     0.2754 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     363.14 us |     0.3236 us |     0.2869 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 | RAND ROOMS |    CHEBYSHEV |   DEFAULT |     323.75 us |     0.4095 us |     0.3630 us |
|                   'GoRogue AStar' |      50 | RAND ROOMS |    CHEBYSHEV |      FAST |     441.87 us |     1.1730 us |     1.0398 us |
|           'GoRogue AStar - H,W,T' |      50 | RAND ROOMS |    CHEBYSHEV |      FAST |     181.13 us |     0.9636 us |     0.8542 us |
|         'GoRogue AStar - H,W,T,D' |      50 | RAND ROOMS |    CHEBYSHEV |      FAST |     168.47 us |     0.8145 us |     0.7221 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 | RAND ROOMS |    CHEBYSHEV |      FAST |     149.62 us |     0.1679 us |     0.1570 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 | RAND ROOMS |    CHEBYSHEV |      FAST |     191.49 us |     0.1497 us |     0.1327 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 | RAND ROOMS |    CHEBYSHEV |      FAST |     170.60 us |     0.0977 us |     0.0816 us |
|                   'GoRogue AStar' |      50 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     376.12 us |     0.3679 us |     0.3072 us |
|           'GoRogue AStar - H,W,T' |      50 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     300.58 us |     0.3931 us |     0.3485 us |
|         'GoRogue AStar - H,W,T,D' |      50 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     288.97 us |     0.2528 us |     0.2111 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     269.47 us |     0.3261 us |     0.2546 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     360.48 us |     0.4866 us |     0.4313 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 | RAND ROOMS |    EUCLIDEAN |   DEFAULT |     323.73 us |     1.2001 us |     1.1226 us |
|                   'GoRogue AStar' |      50 | RAND ROOMS |    EUCLIDEAN |      FAST |     377.75 us |     0.7784 us |     0.7282 us |
|           'GoRogue AStar - H,W,T' |      50 | RAND ROOMS |    EUCLIDEAN |      FAST |     183.43 us |     0.0819 us |     0.0684 us |
|         'GoRogue AStar - H,W,T,D' |      50 | RAND ROOMS |    EUCLIDEAN |      FAST |     168.72 us |     0.2374 us |     0.1983 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 | RAND ROOMS |    EUCLIDEAN |      FAST |     150.21 us |     0.2083 us |     0.1739 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 | RAND ROOMS |    EUCLIDEAN |      FAST |     191.81 us |     0.1636 us |     0.1451 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 | RAND ROOMS |    EUCLIDEAN |      FAST |     171.02 us |     0.2475 us |     0.2316 us |
|                   'GoRogue AStar' |      50 | RAND ROOMS |    MANHATTAN |   DEFAULT |     210.51 us |     0.4042 us |     0.3781 us |
|           'GoRogue AStar - H,W,T' |      50 | RAND ROOMS |    MANHATTAN |   DEFAULT |     135.60 us |     0.1577 us |     0.1317 us |
|         'GoRogue AStar - H,W,T,D' |      50 | RAND ROOMS |    MANHATTAN |   DEFAULT |     121.72 us |     0.1458 us |     0.1364 us |
|   'GoRogue AStar - H,W,T,D,Array' |      50 | RAND ROOMS |    MANHATTAN |   DEFAULT |     104.44 us |     0.1950 us |     0.1824 us |
|    'GoRogue AStar - H,W,T,D,Hash' |      50 | RAND ROOMS |    MANHATTAN |   DEFAULT |     141.65 us |     0.0786 us |     0.0614 us |
| 'GoRogue AStar - H,W,T,D,HashInt' |      50 | RAND ROOMS |    MANHATTAN |   DEFAULT |     123.94 us |     0.3610 us |     0.3377 us |
